mgi_symbol
Gnai3
Cdc45
H19
Scml2
Apoh
Narf
Cav2
Klf6
Scmh1
Cox5a
Tbx2
Tbx4
Ngfr
Wnt3
Wnt9a
Fer
Xpo6
Tfe3
Axin2
Brat1
Gna12
Slc22a18
Itgb2l
Igsf5
Pih1d2
Dlat
Sdhd
Fgf6
Ccnd2
Gpr107
Nalcn
Btbd17
Slfn4
Th
Scnn1g
Drp2
Tspan32
Lhx2
Gmpr
Glra1
Mid2
Trim25
Dgke
Scpep1
Mnt
Itgb2
Hddc2
Tpd52l1
Pemt
Cdh1
Cdh4
Ckmt1
Bcl6b
Clec10a
Alox12
Comt
Rtca
Dbt
Dazap2
Mcts1
Rem1
Rnf17
Trappc10
Ccm2
Tbrg4
Tmprss2
Mx1
Fap
Ndufa9
Egfl6
Lck
Cttnbp2
Galnt1
Myf5
Mkrn2
Pparg
Raf1
Septin1
Pdgfb
Acvrl1
Tamalin
Acvr1b
Tom1l2
Zfp385a
Itga5
Gabra2
Wdr77
Adora3
Atp5pb
Sox9
Hnrnpd
Dynlt1c
C1d
Gm2a
Krit1
Clcn4
Sema4f
Hk2
Myo18a
Sez6
Haao
Cd52
Abhd15
Hoxb6
Loxl3
Kat2b
Rab5b
Cryba1
Icosl
Spg7
Sult5a1
Rpl13
Chmp1a
Rpa1
Serpinf1
Tubgcp3
Oprm1
Polr3d
Tcf7
Ddx3x
Il12rb1
Slc5a5
Kcnn3
Usp32
Car4
Txnrd3
Zfp512b
Dnajc5
Tpd52l2
Fmr1
Bcl11a
Pxmp4
Dlg3
Gnb1l
Mmp11
Smarcb1
Vpreb3
Hip1r
Nsun5
Top1mt
Hoxa10
Hoxa4
Gm38393
Mmp14
Slc7a7
Oxa1l
Heatr6
Ccl3
Icam4
Ilf2
Chtop
Snapin
S100a4
S100a6
Scn4a
Icam2
Mapk7
Epn2
B9d1
Sec24b
N4bp3
Rmnd5b
Nhp2
Vps9d1
Zfp276
Mfsd10
Luzp1
Slc13a2
Kctd10
Poldip2
Sebox
Ift20
Col6a1
Pcbp3
Lgals9
Araf
Cfp
Timp1
Uxt
Cnnm3
Lman2l
Mcm3ap
Pcnt
Ftcd
Mxd1
Gmcl1
Snrnp27
Oas1c
Ocrl
Calm1
Agpat3
Slc26a3
Sema6b
Uhrf1
Dpp9
Ramp2
Lsr
Gramd1a
Hpn
Gabrg1
Ckb
Sp1
Itgb7
Myg1
Rarg
Pfdn5
Efnb2
Rrp15
Rnd2
Srr
Sync
Fndc5
Acp5
Cnn1
Fbxo9
Vps50
Hars
Zmat2
Ube2c
Smg5
Cct3
Glmp
Mef2d
Tmem79
Snd1
Col18a1
Slc19a1
Kpnb1
Npepps
Tbx21
Mrpl10
Cyp51
Tcf25
Tubb6
Def8
Meox1
Sost
Nkx2-1
Pax9
Irx2
